,index,0,1,2,3,4,Answer,Words
0,0.0,"A resonance air column of length 40 cm resonates with a tuning fork of frequency 450 Hz. Ignoring end correction, the velocity of sound in air will be",(a) 720 m/s,(b) 820 m/s,(c) 920 m/s,(d) 1020 m/s,(a) 720 m/s,approaching
1,1.0,"An observer is moving towards a stationary source of frequency 250 Hz with a velocity of 40 m/s. If the velocity of sound is 330 m/s, the apparent frequency heard by the observer will be",(a) 320 Hz,(b) 300 Hz,(c) 280 Hz,(d) 260 Hz,(c) 280 Hz,mass
2,2.0,"With the increase in temperature, the frequency of the sound from an organ pipe",(a) Decreases,(b) Increases,(c) Remain unchanged,(d) Changes erratically,(b) Increases,fork
3,3.0,Loudness of a note of sound is,(a) Directly proportional to amplitude of the wave,(b) Directly proportional to square of amplitude of wave,(c) Directly proportional to velocity of the wave,(d) Directly proportional to square of velocity of the wave,(b) Directly proportional to square of amplitude of wave,length
4,4.0,The frequency of the note produced by plucking a given string increases as,(a) The length of the string increases,(b) The tension in the string increases,(c) The tension in the string decreases,(d) The mass per unit length of the string increases,(b) The tension in the string increases,obeying
5,5.0,A siren placed at a railway platfrom is emitting sound of frequency 5 kHz. A passenger sitting in a moving train A records a frequency of 5.5 kHz while the train approaches the siren. During his return journey in a different train B he records a frequency of 6.0 kHz while approaching the same siren. The ratio of velocity of train B to that of train A is,(a) 242 / 252,(b) 2,(c) 5 / 6,(d) 11 / 6,(b) 2,rarefaction
6,6.0,Energy is not carried by,(a) Longitudinal progressive waves,(b) Electromagnetic waves,(c) Transverse progressive waves,(d) Stationary wave,(d) Stationary wave,velocity
7,7.0,"The extension in a string, obeying Hookes law is X. The speed of sound in the stretched string is V. If the extension in the string is increased to 1.5 X, the speed of sound will be",(a) 1.22 V,(b) 0.61 V,(c) 1.50 V,(d) 0.75 V,(a) 1.22 V,free
8,8.0,Energy is to be carried from one place to another. Which one of the following cannot be used?,(a) Longitudinal progressive waves,(b) Transverse progressive waves,(c) Electromagnetic waves,(d) Standing (stationary) waves,(d) Standing (stationary) waves,sitting
9,9.0,To demonstrate the phenomenon of beats we need,(a) Two sources which emit radiation of nearly the same frequency,(b) Two sources which emit radiation of exactly the same frequency,(c) Two sources which emit radiation of exactly the same frequency and have a definite phase relationship,(d) Two sources which emit radiation of exactly the same wavelength,(a) Two sources which emit radiation of nearly the same frequency,pipe
